Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
DELTADRIFT,ABNB,Long,Daily,2026-02-10,120.32,,,135.11,12.2922%,,Open,90.0
FRACTAL TRACK,XLY,Long,Daily,2026-02-10,118.33,,,116.86,-1.2423%,,Open,93.75
FRACTAL TRACK,EURUSD=X,Long,Daily,2026-02-10,1.1904,,,1.1826,-0.6552%,,Open,83.33
TRENDPULSE,XLU,Long,Daily,2026-02-10,44.2,2026-02-18,45.61,45.61,3.1900%,8.0,Closed,88.46
TRENDPULSE,GDX,Long,Daily,2026-02-10,103.01,2026-02-26,113.89,113.89,10.5621%,16.0,Closed,95.0
DELTADRIFT,SUM.NZ,Long,Daily,2026-02-10,11.25,2026-02-17,10.46,10.46,-7.0222%,7.0,Closed,71.43
FRACTAL TRACK,GBPUSD=X,Long,Daily,2026-02-10,1.3683,,,1.3483,-1.4617%,,Open,92.86
DELTADRIFT,TCS.NS,Long,Daily,2026-02-10,2984.6001,2026-02-24,2573.7,2573.7,-13.7673%,14.0,Closed,86.67
FRACTAL TRACK,GBPSGD=X,Long,Daily,2026-02-10,1.732,,,1.7045,-1.5878%,,Open,100.0
DELTADRIFT,INFY,Long,Daily,2026-02-10,16.61,,,14.44,-13.0644%,,Open,78.57
FRACTAL TRACK,EURUSD=X,Long,Daily,2026-02-10,1.1916,,,1.1826,-0.7553%,,Open,83.33
FRACTAL TRACK,IWM,Long,Daily,2026-02-09,266.88,,,261.41,-2.0496%,,Open,100.0
DELTADRIFT,MSFT,Long,Daily,2026-02-09,413.6,,,392.74,-5.0435%,,Open,72.73
FRACTAL TRACK,GS,Long,Daily,2026-02-09,943.62,,,859.57,-8.9072%,,Open,100.0
DELTADRIFT,COIN,Long,Daily,2026-02-09,167.25,,,175.85,5.1420%,,Open,75.0
FRACTAL TRACK,SONY,Long,Daily,2026-02-09,22.33,,,23.06,3.2691%,,Open,83.33
TRENDPULSE,EWJ,Long,Daily,2026-02-09,91.29,2026-02-13,93.85,93.85,2.8043%,4.0,Closed,90.0
OSCILLATOR DELTA,MSE.PA,Long,Daily,2026-02-09,67.68,,,68.57,1.3150%,,Open,81.25
TRENDPULSE,USCI,Long,Daily,2026-02-09,82.24,,,85.38,3.8181%,,Open,100.0
FRACTAL TRACK,^GSPC,Long,Daily,2026-02-09,6964.8198,,,6878.8799,-1.2339%,,Open,100.0
FRACTAL TRACK,NU,Long,Daily,2026-02-09,17.55,,,14.98,-14.6439%,,Open,100.0
OSCILLATOR DELTA,GDX,Long,Daily,2026-02-09,102.89,,,115.84,12.5863%,,Open,70.0
DELTADRIFT,NOVA.F,Long,Daily,2026-02-09,41.25,,,31.5,-23.6364%,,Open,83.33
FRACTAL TRACK,SPY,Long,Daily,2026-02-09,693.95,,,685.99,-1.1471%,,Open,100.0
DELTADRIFT,PLTR,Long,Daily,2026-02-09,142.91,,,137.19,-4.0025%,,Open,100.0
OSCILLATOR DELTA,BN.TO,Long,Daily,2026-02-09,63.58,,,59.82,-5.9138%,,Open,75.0
FRACTAL TRACK,BN.TO,Long,Daily,2026-02-09,63.58,,,59.82,-5.9138%,,Open,95.65
