Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2023-05-14,97.85,2023-10-01,105.92,2023-04-23,Buy,20 Weeks,8.25%,Rise by 29.1%,491.51%,Normal Case,
2023-05-28,104.08,2023-10-01,105.92,2023-05-21,Buy,18 Weeks,1.77%,Rise by 21.37%,493.28%,Normal Case,
2023-08-20,116.46,2023-12-10,113.61,2023-08-13,Buy,16 Weeks,-2.45%,Rise by -12.55%,490.84%,Normal Case,
2023-09-24,109.03,2023-12-10,113.61,2023-09-17,Buy,11 Weeks,4.2%,Rise by 7.46%,495.04%,Normal Case,
2023-10-08,109.96,2023-12-10,113.61,2023-10-01,Buy,9 Weeks,3.32%,Rise by 6.55%,498.36%,Normal Case,
2023-11-05,108.05,2024-02-25,111.95,2023-10-22,Buy,16 Weeks,3.61%,Rise by 7.95%,501.96%,Normal Case,
2024-01-21,109.67,2024-04-07,124.9,2023-12-31,Buy,11 Weeks,13.89%,Rise by 16.52%,515.85%,Normal Case,
2024-03-10,112.42,2024-06-09,125.92,2024-03-03,Buy,13 Weeks,12.01%,Rise by 28.83%,527.86%,Normal Case,
2024-07-07,144.83,2024-10-06,170.86,2024-06-30,Buy,13 Weeks,17.97%,Rise by 32.77%,545.83%,Normal Case,
2024-07-28,139.01,2024-10-06,170.86,2024-07-21,Buy,10 Weeks,22.91%,Rise by 38.33%,568.75%,Normal Case,
2024-08-11,132.06,2024-10-27,173.52,2024-06-02,Buy,11 Weeks,31.39%,Rise by 45.61%,600.14%,Local Extrema Case,
2024-09-08,141.81,2024-12-08,191.69,2024-09-01,Buy,13 Weeks,35.17%,Rise by 35.6%,635.31%,Normal Case,
2024-10-06,170.86,2024-12-08,191.69,2024-09-29,Buy,9 Weeks,12.19%,Rise by 12.54%,647.5%,Normal Case,
2024-10-27,173.52,2024-12-29,168.96,2024-10-20,Buy,9 Weeks,-2.63%,Rise by -10.96%,644.88%,Normal Case,
2024-11-10,189.25,2025-08-17,248.28,2024-11-03,Buy,40 Weeks,31.19%,Rise by -10.72%,676.07%,Normal Case,
2024-12-01,184.84,2025-08-17,248.28,2016-05-08,Buy,37 Weeks,34.32%,Rise by -12.88%,710.39%,Tangent Case,
2025-02-09,174.46,2025-08-17,248.28,2025-02-02,Buy,27 Weeks,42.31%,Rise by -19.25%,752.7%,Normal Case,
2025-02-16,174.16,2025-08-17,248.28,2025-01-26,Buy,26 Weeks,42.56%,Rise by -26.35%,795.26%,Normal Case,
2025-03-23,152.23,2025-08-17,248.28,2025-03-09,Buy,21 Weeks,63.1%,Rise by 64.26%,858.36%,Normal Case,
2025-05-18,160.49,2025-08-17,248.28,2025-01-19,Buy,13 Weeks,54.7%,Rise by 55.8%,913.06%,Local Extrema Case,
2025-06-22,205.17,2025-09-28,283.46,2025-06-15,Buy,14 Weeks,38.16%,Rise by 21.87%,951.22%,Normal Case,
2025-08-03,244.42,2025-08-03,244.42,2025-07-27,Buy,0 Weeks,0.0%,Rise by 0%,951.22%,Normal Case,
2025-08-10,250.05,2025-08-10,250.05,2016-05-22,Buy,0 Weeks,0.0%,Rise by 0%,951.22%,Tangent Case,
2025-10-19,291.31,2025-10-19,291.31,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,951.22%,Normal Case,
