Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2022-04-17,126.179,2022-07-31,134.397,2022-04-10,Buy,15 Weeks,6.51%,Rise by 10.13%,173.69%,Normal Case,
2022-04-24,128.408,2022-07-31,134.397,2022-04-17,Buy,14 Weeks,4.66%,Rise by 8.22%,178.36%,Normal Case,
2022-05-01,130.811,2022-07-31,134.397,2022-01-30,Buy,13 Weeks,2.74%,Rise by 6.23%,181.1%,Local Extrema Case,
2022-05-01,130.811,2022-07-31,134.397,2022-04-24,Buy,13 Weeks,2.74%,Rise by 6.23%,183.84%,Normal Case,
2022-05-08,130.33,2022-07-31,134.397,2022-02-27,Buy,12 Weeks,3.12%,Rise by 6.63%,186.96%,Local Extrema Case,
2022-05-08,130.33,2022-07-31,134.397,2022-05-01,Buy,12 Weeks,3.12%,Rise by 6.63%,190.08%,Normal Case,
2022-06-12,134.418,2022-10-09,145.039,2022-06-05,Buy,17 Weeks,7.9%,Rise by 11.72%,197.98%,Normal Case,
2022-06-19,132.421,2022-10-09,145.039,2022-06-12,Buy,16 Weeks,9.53%,Rise by 13.41%,207.51%,Normal Case,
2022-06-26,134.84,2022-10-09,145.039,2016-01-17,Buy,15 Weeks,7.56%,Rise by 11.37%,215.07%,Tangent Case,
2022-07-17,138.967,2022-10-09,145.039,2022-07-10,Buy,12 Weeks,4.37%,Rise by 8.07%,219.44%,Normal Case,
2022-08-28,136.563,2022-11-06,148.393,2022-08-21,Buy,10 Weeks,8.66%,Rise by 9.97%,228.11%,Normal Case,
2022-09-04,140.081,2022-11-06,148.393,2022-08-28,Buy,9 Weeks,5.93%,Rise by 7.21%,234.04%,Normal Case,
2022-09-11,143.856,2023-03-26,130.865,2022-09-04,Buy,28 Weeks,-9.03%,Rise by -10.21%,225.01%,Normal Case,
2022-09-18,143.365,2023-03-26,130.865,2022-09-11,Buy,27 Weeks,-8.72%,Rise by -10.46%,216.29%,Normal Case,
2022-09-25,142.28,2023-03-26,130.865,2022-05-29,Buy,26 Weeks,-8.02%,Rise by -3.92%,208.27%,Local Extrema Case,
